DateUTC,TimeUTC,SUM_of_MNOZSTVO
07/07/2013,810,115848.36357
07/07/2013,840,115701.21532
07/07/2013,870,114434.67241
07/07/2013,900,114561.89139
07/07/2013,930,114495.99774
07/07/2013,960,114812.9853
07/07/2013,990,114493.68259
07/07/2013,1020,113739.27573
07/07/2013,1050,112130.04889
07/07/2013,1080,111211.48405
07/07/2013,1110,109718.01249
07/07/2013,1140,109154.80141
07/07/2013,1170,105989.97713
07/07/2013,1200,101169.03789
07/07/2013,1230,94446.08271
07/07/2013,1260,91181.849574
07/07/2013,1290,88848.349279
07/07/2013,1320,84508.527161
08/07/2013,-90,82433.073141
08/07/2013,-60,81163.02239
08/07/2013,-30,80465.392296
08/07/2013,0,79182.538592
08/07/2013,30,79441.281136
08/07/2013,60,79758.295257
08/07/2013,90,82283.290408
08/07/2013,120,84534.297425
08/07/2013,150,89190.036119
08/07/2013,180,92288.911444
08/07/2013,210,96620.058751
08/07/2013,240,104689.48263
08/07/2013,270,119147.42317
08/07/2013,300,126630.53684
08/07/2013,330,135169.58406
08/07/2013,360,141524.29576
08/07/2013,390,147660.32457
08/07/2013,420,150789.54443
08/07/2013,450,154409.0408
08/07/2013,480,158491.25498
08/07/2013,510,161309.14278
08/07/2013,540,161943.63523
08/07/2013,570,161434.68608
08/07/2013,600,162194.28646
08/07/2013,630,164479.86467
08/07/2013,660,165268.50824
08/07/2013,690,164182.40926
08/07/2013,720,164080.30054
08/07/2013,750,164504.87947
08/07/2013,780,164416.64469
08/07/2013,810,160858.92536
08/07/2013,840,158596.2054
08/07/2013,870,154524.88301
08/07/2013,900,150833.33106
08/07/2013,930,149199.50331
08/07/2013,960,146153.65026
08/07/2013,990,143247.30462
08/07/2013,1020,139984.19296
08/07/2013,1050,136822.3483
08/07/2013,1080,133349.56008
08/07/2013,1110,130851.79778
08/07/2013,1140,128151.77658
08/07/2013,1170,124230.18755
08/07/2013,1200,118704.85828
08/07/2013,1230,116420.53827
08/07/2013,1260,114899.81877
08/07/2013,1290,112798.26876
08/07/2013,1320,110083.92061
09/07/2013,-90,103198.21242
09/07/2013,-60,101159.16731
09/07/2013,-30,101151.94201
09/07/2013,0,100939.83568
09/07/2013,30,99455.267872
09/07/2013,60,99986.168582
09/07/2013,90,99808.43639
09/07/2013,120,98844.858031
09/07/2013,150,102580.02215
09/07/2013,180,104343.96743
09/07/2013,210,108308.17916
09/07/2013,240,112404.31888
09/07/2013,270,122359.12266
09/07/2013,300,128198.60568
09/07/2013,330,136301.22294
09/07/2013,360,143691.19455
09/07/2013,390,151174.18753
09/07/2013,420,154408.13462
09/07/2013,450,160043.87942
09/07/2013,480,162754.51562
09/07/2013,510,164087.28562
09/07/2013,540,165257.52303
09/07/2013,570,165405.64616
09/07/2013,600,165684.58287
09/07/2013,630,167362.11543
09/07/2013,660,169029.29778
09/07/2013,690,168004.13097
09/07/2013,720,165109.89615
09/07/2013,750,164917.90527
09/07/2013,780,163503.64709
09/07/2013,810,159673.89126
09/07/2013,840,157966.01885
09/07/2013,870,153017.04877
09/07/2013,900,151389.55992
09/07/2013,930,149324.28001
09/07/2013,960,145354.6861
09/07/2013,990,142992.88893
09/07/2013,1020,140518.11727
09/07/2013,1050,136642.04615
09/07/2013,1080,134787.84314
09/07/2013,1110,131176.45979
09/07/2013,1140,129071.88645
09/07/2013,1170,125259.47854
09/07/2013,1200,120879.00185
09/07/2013,1230,116459.27963
09/07/2013,1260,114751.77724
09/07/2013,1290,111688.94642
09/07/2013,1320,108244.57166
10/07/2013,-90,107017.17267
10/07/2013,-60,105517.05272
10/07/2013,-30,104761.48273
10/07/2013,0,104946.56826
10/07/2013,30,102876.63581
10/07/2013,60,104257.77188
10/07/2013,90,104097.3245
10/07/2013,120,102303.03087
10/07/2013,150,107202.34304
10/07/2013,180,108016.01855
10/07/2013,210,111597.68495
10/07/2013,240,114695.90882
10/07/2013,270,124083.43199
10/07/2013,300,130890.50079
10/07/2013,330,139746.90712
10/07/2013,360,146340.40823
10/07/2013,390,151922.2335
10/07/2013,420,155412.96417
10/07/2013,450,160220.0587
10/07/2013,480,163244.52902
10/07/2013,510,165699.89284
10/07/2013,540,166169.18876
10/07/2013,570,165797.50874
10/07/2013,600,168294.70624
10/07/2013,630,170764.26383
10/07/2013,660,170286.92412
10/07/2013,690,170818.60548
10/07/2013,720,169113.13711
10/07/2013,750,167904.44122
10/07/2013,780,165366.41349
10/07/2013,810,163190.99469
10/07/2013,840,161899.32671
10/07/2013,870,157376.68676
10/07/2013,900,153483.36017
10/07/2013,930,152550.26783
10/07/2013,960,148741.67161
10/07/2013,990,144511.15285
10/07/2013,1020,142977.39179
10/07/2013,1050,138997.13834
10/07/2013,1080,136355.3704
10/07/2013,1110,132345.44941
10/07/2013,1140,130224.16032
10/07/2013,1170,127286.53015
10/07/2013,1200,123286.98125
10/07/2013,1230,120464.23365
10/07/2013,1260,118725.50241
10/07/2013,1290,115322.04132
10/07/2013,1320,112130.14579
11/07/2013,-90,107002.64261
11/07/2013,-60,104763.50389
11/07/2013,-30,105360.91459
11/07/2013,0,104128.43976
11/07/2013,30,103333.44687
11/07/2013,60,103112.94979
11/07/2013,90,102744.14735
11/07/2013,120,101720.61035
11/07/2013,150,105400.71576
11/07/2013,180,107308.94665
11/07/2013,210,111410.96384
11/07/2013,240,114717.58104
11/07/2013,270,123595.25556
11/07/2013,300,129805.71946
11/07/2013,330,136524.53073
11/07/2013,360,142058.39952
11/07/2013,390,147870.01535
11/07/2013,420,149406.87282
11/07/2013,450,153673.13114
11/07/2013,480,155154.49899
11/07/2013,510,156890.59575
11/07/2013,540,158027.06335
11/07/2013,570,157452.80147
11/07/2013,600,157030.91155
11/07/2013,630,159813.36234
11/07/2013,660,158305.74046
11/07/2013,690,158227.49374
11/07/2013,720,155955.54274
11/07/2013,750,156144.00778
11/07/2013,780,154588.87954
11/07/2013,810,152202.59472
11/07/2013,840,148587.67655
11/07/2013,870,146485.33625
11/07/2013,900,142542.35722
11/07/2013,930,140384.57266
11/07/2013,960,137238.64105
11/07/2013,990,133664.72576
11/07/2013,1020,132836.36002
11/07/2013,1050,129159.37225
11/07/2013,1080,127316.49381
11/07/2013,1110,123745.8028
11/07/2013,1140,122209.30081
11/07/2013,1170,119105.81968
11/07/2013,1200,114502.6929
11/07/2013,1230,113217.63193
11/07/2013,1260,110093.05356
11/07/2013,1290,107874.23686
11/07/2013,1320,104209.62757
12/07/2013,-90,102817.56145
12/07/2013,-60,100993.73141
12/07/2013,-30,100978.98355
12/07/2013,0,100819.806
12/07/2013,30,100408.82004
12/07/2013,60,100743.36741
12/07/2013,90,100999.35891
12/07/2013,120,100502.67315
