DateUTC,TimeUTC,SUM_of_MNOZSTVO
2013-07-12,540,150239.75963
2013-07-12,570,152430.25768
2013-07-12,600,153473.47627
2013-07-12,630,154015.38501
2013-07-12,660,153092.67789
2013-07-12,690,154741.45653
2013-07-12,720,157024.66245
2013-07-12,750,155825.75209
2013-07-12,780,156069.92785
2013-07-12,810,152668.05631
2013-07-12,840,153073.65827
2013-07-12,870,150829.96529
2013-07-12,900,149335.62313
2013-07-12,930,145920.38941
2013-07-12,960,143360.85496
2013-07-12,990,140324.77415
2013-07-12,1020,139173.67654
2013-07-12,1050,136186.09736
2013-07-12,1080,133405.63186
2013-07-12,1110,131669.46702
2013-07-12,1140,128298.76499
2013-07-12,1170,125662.10654
2013-07-12,1200,122490.68624
2013-07-12,1230,120563.64579
2013-07-12,1260,117968.35558
2013-07-12,1290,112112.07462
2013-07-12,1320,112289.58067
2013-07-12,1350,110522.8165
2013-07-12,1380,108264.59062
2013-07-12,1410,105225.08978
2013-07-13,0,101091.3285
2013-07-13,30,99926.867632
2013-07-13,60,100008.66469
2013-07-13,90,99214.395153
2013-07-13,120,98349.430376
2013-07-13,150,98706.865181
2013-07-13,180,98654.536257
2013-07-13,210,97871.31833
2013-07-13,240,101365.24367
2013-07-13,270,100985.23248
2013-07-13,300,100396.0675
2013-07-13,330,98548.869975
2013-07-13,360,100872.14068
2013-07-13,390,102276.06339
2013-07-13,420,103932.79798
2013-07-13,450,103728.74564
2013-07-13,480,105883.05844
2013-07-13,510,107649.49991
2013-07-13,540,110770.0557
2013-07-13,570,112063.17674
2013-07-13,600,115486.39056
2013-07-13,630,116036.91349
2013-07-13,660,115656.95191
2013-07-13,690,115665.78393
2013-07-13,720,116880.30063
2013-07-13,750,116208.59206
2013-07-13,780,115768.1355
2013-07-13,810,112985.92191
2013-07-13,840,114955.58372
2013-07-13,870,113766.67428
2013-07-13,900,113097.66223
2013-07-13,930,113445.55053
2013-07-13,960,111449.53825
2013-07-13,990,110801.94274
2013-07-13,1020,111674.2724
2013-07-13,1050,111205.7908
2013-07-13,1080,110243.91006
2013-07-13,1110,110375.43765
2013-07-13,1140,110767.09135
2013-07-13,1170,108450.8293
2013-07-13,1200,106241.03435
2013-07-13,1230,105643.81708
2013-07-13,1260,103541.66448
2013-07-13,1290,100071.28851
2013-07-13,1320,98472.68049
2013-07-13,1350,97116.178403
2013-07-13,1380,95393.960366
2013-07-13,1410,91634.681867
2013-07-14,0,88196.344688
2013-07-14,30,86785.526085
2013-07-14,60,87091.210821
2013-07-14,90,86466.26894
2013-07-14,120,86207.343551
2013-07-14,150,86116.434175
2013-07-14,180,86015.234729
2013-07-14,210,86117.548826
2013-07-14,240,88158.626542
2013-07-14,270,89570.727835
2013-07-14,300,89161.737107
2013-07-14,330,87851.559114
2013-07-14,360,90261.81538
2013-07-14,390,91760.051066
2013-07-14,420,95781.711932
2013-07-14,450,96633.597333
2013-07-14,480,99236.174666
2013-07-14,510,100152.35621
2013-07-14,540,104079.68569
2013-07-14,570,105686.10521
