merged.DateUTC,merged.Temperature_F,decom.time.series....trend..
2013-07-10,84.2,136609.93796555
2013-07-10,83,136555.654570367
2013-07-10,82.4,136501.371175184
2013-07-10,82,136447.087780001
2013-07-10,80.6,136392.804384818
2013-07-10,78,136338.520989635
2013-07-10,77,136284.237594452
2013-07-10,75,136229.954199269
2013-07-10,75.2,136175.670804086
2013-07-10,73,136121.387408903
2013-07-10,73.4,136067.10401372
2013-07-10,72,136012.820618537
2013-07-10,71.6,135958.537223354
2013-07-10,72,135904.253828171
2013-07-10,71.6,135849.970432988
2013-07-11,72,135795.687037805
2013-07-11,69.8,135700.44074095
2013-07-11,69,135605.194444096
2013-07-11,69.8,135509.948147241
2013-07-11,68,135414.701850387
2013-07-11,66.2,135319.455553533
2013-07-11,65,135224.209256678
2013-07-11,64.4,135128.962959824
2013-07-11,64,135033.716662969
2013-07-11,64.4,134938.470366115
2013-07-11,64,134843.22406926
2013-07-11,64.4,134747.977772406
2013-07-11,64,134652.731475551
2013-07-11,64.4,134557.485178697
2013-07-11,69,134462.238881843
2013-07-11,68,134366.992584988
2013-07-11,69,134231.064468633
2013-07-11,68,134095.136352277
2013-07-11,70,133959.208235922
2013-07-11,71.6,133823.280119566
2013-07-11,72,133687.35200321
2013-07-11,71.6,133551.423886855
2013-07-11,70,133415.495770499
2013-07-11,71.6,133279.567654144
2013-07-11,74,133143.639537788
2013-07-11,73.4,133007.711421433
2013-07-11,74,132871.783305077
2013-07-11,75.2,132735.855188722
2013-07-11,74,132599.927072366
2013-07-11,73.4,132463.99895601
2013-07-11,73,132328.070839655
2013-07-11,73.4,132235.351670372
2013-07-11,72,132142.632501089
2013-07-11,71.6,132049.913331807
2013-07-11,70,131957.194162524
2013-07-11,69.8,131864.474993241
2013-07-11,68,131771.755823958
2013-07-11,68,131679.036654676
2013-07-11,66,131586.317485393
2013-07-11,64.4,131493.59831611
2013-07-11,63,131400.879146827
2013-07-11,62.6,131308.159977545
2013-07-11,60.8,131215.440808262
2013-07-11,60.8,131122.721638979
2013-07-11,61,131030.002469696
2013-07-11,60.8,130937.283300414
2013-07-11,60,130799.057172005
2013-07-11,60.8,130660.831043596
2013-07-12,59,130522.604915187
2013-07-12,59,130384.378786778
2013-07-12,71,130246.152658369
2013-07-12,59,130107.92652996
2013-07-12,58,129969.700401551
2013-07-12,59,129831.474273142
2013-07-12,59,129693.248144734
2013-07-12,59,129555.022016325
2013-07-12,60,129416.795887916
2013-07-12,60.8,129278.569759507
2013-07-12,62,129140.343631098
2013-07-12,62.6,129002.117502689
2013-07-12,64,128863.89137428
2013-07-12,64.4,128568.009702377
2013-07-12,66,128272.128030474
2013-07-12,66.2,127976.24635857
2013-07-12,67,127680.364686667
2013-07-12,69.8,127384.483014764
2013-07-12,70,127088.601342861
2013-07-12,71.6,126792.719670957
2013-07-12,71,126496.837999054
2013-07-12,71.6,126200.956327151
2013-07-12,72,125905.074655247
2013-07-12,73.4,125609.192983344
2013-07-12,73,125313.311311441
2013-07-12,71.6,125017.429639537
2013-07-12,74,124721.547967634
2013-07-12,75.2,124425.666295731
2013-07-12,74,124111.759826718
2013-07-12,73.4,123797.853357706
2013-07-12,73,123483.946888693
2013-07-12,73.4,123170.040419681
2013-07-12,73,122856.133950668
2013-07-12,73.4,122542.227481656
2013-07-12,73,122228.321012644
2013-07-12,71.6,121914.414543631
2013-07-12,70,121600.508074619
2013-07-12,69.8,121286.601605606
2013-07-12,67,120972.695136594
2013-07-12,68,120658.788667581
2013-07-12,67,120344.882198569
2013-07-12,66.2,120030.975729556
2013-07-12,65,119717.069260544
2013-07-12,64.4,119435.944320877
2013-07-12,64,119154.81938121
2013-07-12,64.4,118873.694441542
2013-07-12,62,118592.569501875
2013-07-12,62.6,118311.444562208
2013-07-13,63,118030.319622541
2013-07-13,62.6,117749.194682874
2013-07-13,60,117468.069743207
2013-07-13,60.8,117186.94480354
2013-07-13,60,116905.819863872
2013-07-13,59,116624.694924205
2013-07-13,59,116343.569984538
2013-07-13,59,116062.445044871
2013-07-13,60,115781.320105204
2013-07-13,60.8,115500.195165537
2013-07-13,63,115146.905805309
2013-07-13,64.4,114793.616445082
2013-07-13,65,114440.327084855
2013-07-13,66.2,114087.037724627
2013-07-13,68,113733.7483644
2013-07-13,69.8,113380.459004172
2013-07-13,71,113027.169643945
2013-07-13,71.6,112673.880283718
2013-07-13,73,112320.59092349
2013-07-13,73.4,111967.301563263
2013-07-13,72,111614.012203036
2013-07-13,73.4,111260.722842808
2013-07-13,73,110907.433482581
2013-07-13,75.2,110554.144122353
2013-07-13,74,110200.854762126
2013-07-13,71.6,109881.698703255
2013-07-13,75,109562.542644385
2013-07-13,73.4,109243.386585514
2013-07-13,74,108924.230526643
2013-07-13,73.4,108605.074467772
2013-07-13,73,108285.918408902
2013-07-13,75.2,107966.762350031
2013-07-13,75,107647.60629116
2013-07-13,73.4,107328.450232289
2013-07-13,75,107009.294173419
2013-07-13,75.2,106690.138114548
2013-07-13,73,106370.982055677
2013-07-13,71.6,106051.825996806
2013-07-13,70,105732.669937936
2013-07-13,68,105413.513879065
2013-07-13,67,105291.49525292
2013-07-13,66.2,105169.476626776
2013-07-13,65,105047.458000631
2013-07-13,64.4,104925.439374487
2013-07-13,64,104803.420748342
2013-07-13,62.6,104681.402122197
2013-07-13,63,104559.383496053
2013-07-13,64.4,104437.364869908
2013-07-14,63,104315.346243764
2013-07-14,62.6,104193.327617619
2013-07-14,64,104071.308991474
2013-07-14,64.4,103949.29036533
2013-07-14,63,103827.271739185
2013-07-14,62.6,103705.253113041
2013-07-14,63,103583.234486896
2013-07-14,62.6,103692.080272297
2013-07-14,63,103800.926057698
2013-07-14,64.4,103909.771843099
2013-07-14,65,104018.6176285
2013-07-14,66.2,104127.463413901
2013-07-14,67,104236.309199302
2013-07-14,68,104345.154984703
2013-07-14,69,104454.000770104
2013-07-14,69.8,104562.846555505
2013-07-14,72,104671.692340906
2013-07-14,73.4,104780.538126308
2013-07-14,75,104889.383911709
2013-07-14,75.2,104998.22969711
2013-07-14,76,105107.075482511
2013-07-14,75.2,105215.921267912
2013-07-14,75,105483.351525558
2013-07-14,77,105750.781783205
2013-07-14,78,106018.212040851
2013-07-14,78.8,106285.642298498
2013-07-14,78,106553.072556144
2013-07-14,78.8,106820.50281379
2013-07-14,80,107087.933071437
2013-07-14,77,107355.363329083
2013-07-14,78,107622.79358673
2013-07-14,78.8,107890.223844376
2013-07-14,78,108157.654102023
2013-07-14,78.8,108425.084359669
2013-07-14,78,108692.514617316
2013-07-14,77,108959.944874962
2013-07-14,76,109227.375132608
2013-07-14,75.2,109551.636464743
2013-07-14,72,109875.897796878
2013-07-14,71.6,110200.159129013
2013-07-14,69,110524.420461148
2013-07-14,68,110848.681793283
2013-07-14,67,111172.943125418
2013-07-14,68,111497.204457553
2013-07-14,66,111821.465789687
2013-07-14,66.2,112145.727121822
2013-07-14,63,112469.988453957
2013-07-14,64.4,112794.249786092
2013-07-15,65,113118.511118227
2013-07-15,64.4,113442.772450362
2013-07-15,65,113767.033782497
2013-07-15,66.2,114091.295114632
2013-07-15,66,114448.834389383
2013-07-15,66.2,114806.373664135
2013-07-15,66,115163.912938886
2013-07-15,66.2,115521.452213638
2013-07-15,66,115878.991488389
2013-07-15,66.2,116236.530763141
2013-07-15,65,116594.070037892
2013-07-15,66.2,116951.609312644
2013-07-15,66,117309.148587395
2013-07-15,68,117666.687862147
2013-07-15,68,118024.227136898
2013-07-15,69.8,118381.76641165
2013-07-15,70,118739.305686402
2013-07-15,71.6,119096.844961153
2013-07-15,72,119454.384235905
2013-07-15,73.4,119844.872539974
2013-07-15,74,120235.360844043
2013-07-15,73.4,120625.849148112
2013-07-15,75.2,121016.337452181
2013-07-15,75.2,121406.82575625
2013-07-15,76,121797.314060319
2013-07-15,77,122187.802364388
2013-07-15,78,122578.290668457
2013-07-15,77,122968.778972526
2013-07-15,76,123359.267276595
2013-07-15,77,123749.755580664
2013-07-15,76,124140.243884733
2013-07-15,77,124530.732188802
2013-07-15,76,124921.220492871
2013-07-15,75.2,125311.70879694
2013-07-15,74,125627.037740178
2013-07-15,73.4,125942.366683416
2013-07-15,71,126257.695626654
2013-07-15,69.8,126573.024569892
2013-07-15,68,126888.35351313
2013-07-15,66.2,127203.682456368
2013-07-15,66,127519.011399607
2013-07-15,64.4,127834.340342845
2013-07-15,63,128149.669286083
2013-07-15,62.6,128464.998229321
2013-07-15,62,128780.327172559
2013-07-15,60.8,129095.656115797
2013-07-15,62,129410.985059035
2013-07-15,60.8,129726.314002273
2013-07-16,62,130041.642945511
2013-07-16,62.6,130194.092848679
2013-07-16,60.8,130346.542751846
2013-07-16,60.8,130498.992655013
2013-07-16,60,130651.44255818
2013-07-16,60.8,130803.892461347
2013-07-16,60,130956.342364514
2013-07-16,59,131108.792267681
2013-07-16,60,131261.242170848
2013-07-16,62.6,131413.692074016
2013-07-16,65,131566.141977183
2013-07-16,66.2,131718.59188035
2013-07-16,67,131871.041783517
2013-07-16,68,132023.491686684
2013-07-16,70,132175.941589851
2013-07-16,71.6,132328.391493018
2013-07-16,72,132391.313412338
2013-07-16,73.4,132454.235331657
2013-07-16,74,132517.157250977
2013-07-16,75.2,132580.079170296
2013-07-16,75,132643.001089615
2013-07-16,75.2,132705.923008935
2013-07-16,78,132768.844928254
2013-07-16,77,132831.766847574
2013-07-16,78,132894.688766893
2013-07-16,78.8,132957.610686213
2013-07-16,77,133020.532605532
2013-07-16,78.8,133083.454524851
2013-07-16,78,133146.376444171
2013-07-16,78.8,133209.29836349
2013-07-16,80,133272.22028281
2013-07-16,80.6,133365.824757267
2013-07-16,80,133459.429231724
2013-07-16,78.8,133553.033706181
2013-07-16,79,133646.638180638
2013-07-16,78.8,133740.242655095
2013-07-16,77,133833.847129552
2013-07-16,75.2,133927.451604009
2013-07-16,71,134021.056078466
2013-07-16,71.6,134114.660552923
2013-07-16,70,134208.265027381
2013-07-16,64.4,134301.869501838
2013-07-16,65,134395.473976295
2013-07-16,64.4,134489.078450752
2013-07-16,64,134582.682925209
2013-07-16,62.6,134676.287399666
2013-07-16,62,134759.561294498
2013-07-16,60.8,134842.83518933
2013-07-17,60,134926.109084162
2013-07-17,59,135009.382978994
2013-07-17,60,135092.656873826
