DATUM,CAS,SUM_of_MNOZSTVO
08/07/2013,255,113857.84727
08/07/2013,270,119147.42317
08/07/2013,285,122706.25061
08/07/2013,300,126630.53684
08/07/2013,315,130659.17249
08/07/2013,330,135169.58406
08/07/2013,345,139519.92563
08/07/2013,360,141524.29576
08/07/2013,375,144892.26325
08/07/2013,390,147660.32457
08/07/2013,405,148299.86123
08/07/2013,420,150789.54443
08/07/2013,435,153625.40548
08/07/2013,450,154409.0408
08/07/2013,465,156503.88696
08/07/2013,480,158491.25498
08/07/2013,495,160517.67277
08/07/2013,510,161309.14278
08/07/2013,525,161152.85585
08/07/2013,540,161943.63523
08/07/2013,555,161293.56855
08/07/2013,570,161434.68608
08/07/2013,585,161901.14799
08/07/2013,600,162194.28646
08/07/2013,615,164087.92653
08/07/2013,630,164479.86467
08/07/2013,645,164579.9008
08/07/2013,660,165268.50824
08/07/2013,675,165133.77304
08/07/2013,690,164182.40926
08/07/2013,705,164054.25931
08/07/2013,720,164080.30054
08/07/2013,735,164016.86432
08/07/2013,750,164504.87947
08/07/2013,765,164565.87522
08/07/2013,780,164416.64469
08/07/2013,795,162109.47841
08/07/2013,810,160858.92536
08/07/2013,825,160464.56791
08/07/2013,840,158596.2054
08/07/2013,855,156198.18405
08/07/2013,870,154524.88301
08/07/2013,885,152223.4801
08/07/2013,900,150833.33106
08/07/2013,915,150573.67553
08/07/2013,930,149199.50331
08/07/2013,945,148223.61156
08/07/2013,960,146153.65026
08/07/2013,975,143783.81233
08/07/2013,990,143247.30462
08/07/2013,1005,142009.70702
08/07/2013,1020,139984.19296
08/07/2013,1035,137644.51755
08/07/2013,1050,136822.3483
08/07/2013,1065,136017.95008
08/07/2013,1080,133349.56008
08/07/2013,1095,131843.71428
08/07/2013,1110,130851.79778
08/07/2013,1125,129059.79789
08/07/2013,1140,128151.77658
08/07/2013,1155,125419.53258
08/07/2013,1170,124230.18755
08/07/2013,1185,121745.93704
08/07/2013,1200,118704.85828
08/07/2013,1215,117169.8764
08/07/2013,1230,116420.53827
08/07/2013,1245,114994.33762
08/07/2013,1260,114899.81877
08/07/2013,1275,114027.20753
08/07/2013,1290,112798.26876
08/07/2013,1305,111384.60542
08/07/2013,1320,110083.92061
09/07/2013,-105,104312.89723
09/07/2013,-90,103198.21242
09/07/2013,-75,102196.14947
09/07/2013,-60,101159.16731
09/07/2013,-45,101497.63234
09/07/2013,-30,101151.94201
09/07/2013,-15,101127.94097
09/07/2013,0,100939.83568
09/07/2013,15,100003.49411
09/07/2013,30,99455.267872
09/07/2013,45,100007.13738
09/07/2013,60,99986.168582
09/07/2013,75,100284.97166
09/07/2013,90,99808.43639
09/07/2013,105,98742.428034
09/07/2013,120,98844.858031
09/07/2013,135,101170.46132
09/07/2013,150,102580.02215
09/07/2013,165,103162.22805
09/07/2013,180,104343.96743
09/07/2013,195,105821.04767
09/07/2013,210,108308.17916
09/07/2013,225,110675.24567
09/07/2013,240,112404.31888
09/07/2013,255,118274.66543
09/07/2013,270,122359.12266
09/07/2013,285,126040.54816
09/07/2013,300,128198.60568
09/07/2013,315,132626.0864
09/07/2013,330,136301.22294
09/07/2013,345,140132.63925
09/07/2013,360,143691.19455
09/07/2013,375,148657.3882
09/07/2013,390,151174.18753
09/07/2013,405,152603.62458
09/07/2013,420,154408.13462
09/07/2013,435,157489.50593
09/07/2013,450,160043.87942
09/07/2013,465,162458.79747
09/07/2013,480,162754.51562
09/07/2013,495,163285.92839
09/07/2013,510,164087.28562
09/07/2013,525,164519.156
09/07/2013,540,165257.52303
09/07/2013,555,164893.7203
09/07/2013,570,165405.64616
09/07/2013,585,165314.41773
09/07/2013,600,165684.58287
09/07/2013,615,166958.79152
09/07/2013,630,167362.11543
09/07/2013,645,168359.20201
09/07/2013,660,169029.29778
09/07/2013,675,169626.50884
09/07/2013,690,168004.13097
09/07/2013,705,167305.36369
09/07/2013,720,165109.89615
09/07/2013,735,165311.3147
09/07/2013,750,164917.90527
09/07/2013,765,164099.80134
09/07/2013,780,163503.64709
09/07/2013,795,161210.37903
09/07/2013,810,159673.89126
09/07/2013,825,159283.40789
09/07/2013,840,157966.01885
09/07/2013,855,155636.68054
09/07/2013,870,153017.04877
09/07/2013,885,151995.56055
09/07/2013,900,151389.55992
09/07/2013,915,150192.62397
09/07/2013,930,149324.28001
09/07/2013,945,147809.78792
09/07/2013,960,145354.6861
09/07/2013,975,143687.92918
09/07/2013,990,142992.88893
09/07/2013,1005,141715.62028
09/07/2013,1020,140518.11727
09/07/2013,1035,138468.41766
09/07/2013,1050,136642.04615
09/07/2013,1065,135876.19344
09/07/2013,1080,134787.84314
09/07/2013,1095,132998.38837
09/07/2013,1110,131176.45979
09/07/2013,1125,130075.11016
09/07/2013,1140,129071.88645
09/07/2013,1155,126709.24277
09/07/2013,1170,125259.47854
09/07/2013,1185,123560.84568
09/07/2013,1200,120879.00185
09/07/2013,1215,118171.45383
09/07/2013,1230,116459.27963
09/07/2013,1245,114529.95802
09/07/2013,1260,114751.77724
09/07/2013,1275,113044.83969
09/07/2013,1290,111688.94642
09/07/2013,1305,110055.62973
09/07/2013,1320,108244.57166
10/07/2013,-105,108369.42316
10/07/2013,-90,107017.17267
10/07/2013,-75,106109.68622
10/07/2013,-60,105517.05272
10/07/2013,-45,105585.87197
10/07/2013,-30,104761.48273
10/07/2013,-15,105276.55085
10/07/2013,0,104946.56826
10/07/2013,15,103102.30205
10/07/2013,30,102876.63581
10/07/2013,45,104331.4432
10/07/2013,60,104257.77188
10/07/2013,75,104716.00832
10/07/2013,90,104097.3245
10/07/2013,105,102169.03661
10/07/2013,120,102303.03087
10/07/2013,135,105415.20741
10/07/2013,150,107202.34304
10/07/2013,165,107808.1073
10/07/2013,180,108016.01855
10/07/2013,195,110161.779
10/07/2013,210,111597.68495
10/07/2013,225,112721.55146
10/07/2013,240,114695.90882
10/07/2013,255,119917.08334
10/07/2013,270,124083.43199
10/07/2013,285,127372.10883
10/07/2013,300,130890.50079
10/07/2013,315,135595.34356
