,electrometer,postcode,location,rows,f
293,2160,252 68,Knìeves,69985,data/ceskedata/CZ_data_1/2160.csv
294,2161,252 68,Knìeves,69985,data/ceskedata/CZ_data_1/2161.csv
295,2162,252 68,Knìeves,69985,data/ceskedata/CZ_data_1/2162.csv
296,2163,252 68,Knìeves,69985,data/ceskedata/CZ_data_1/2163.csv
297,2164,252 68,Knìeves,69985,data/ceskedata/CZ_data_1/2164.csv
298,217,664 42,Modøice - Brno,69985,data/ceskedata/CZ_data_1/217.csv
299,218,664 42,Modøice - Brno,69985,data/ceskedata/CZ_data_1/218.csv
300,219,664 42,Modøice - Brno,69985,data/ceskedata/CZ_data_1/219.csv
301,22,,,69985,data/ceskedata/CZ_data_1/22.csv
302,220,664 42,Modøice - Brno,69985,data/ceskedata/CZ_data_1/220.csv
303,221,664 42,Modøice - Brno,69985,data/ceskedata/CZ_data_1/221.csv
304,222,664 42,Modøice - Brno,69985,data/ceskedata/CZ_data_1/222.csv
305,223,664 42,Modøice - Brno,69985,data/ceskedata/CZ_data_1/223.csv
306,224,664 42,Modøice - Brno,69985,data/ceskedata/CZ_data_1/224.csv
307,225,664 42,Modøice - Brno,69985,data/ceskedata/CZ_data_1/225.csv
308,226,664 42,Modøice - Brno,69985,data/ceskedata/CZ_data_1/226.csv
309,227,664 42,Modøice - Brno,69985,data/ceskedata/CZ_data_1/227.csv
310,228,664 42,Modøice - Brno,69985,data/ceskedata/CZ_data_1/228.csv
311,229,664 42,Modøice - Brno,69985,data/ceskedata/CZ_data_1/229.csv
312,23,664 51,lapanice,69985,data/ceskedata/CZ_data_1/23.csv
313,230,,,69985,data/ceskedata/CZ_data_1/230.csv
314,231,664 42,Modøice - Brno,69985,data/ceskedata/CZ_data_1/231.csv
315,2314,,,69985,data/ceskedata/CZ_data_1/2314.csv
316,2315,252 68,Knìeves,69985,data/ceskedata/CZ_data_1/2315.csv
317,2316,,,69985,data/ceskedata/CZ_data_1/2316.csv
318,2317,,,69985,data/ceskedata/CZ_data_1/2317.csv
319,2318,293 01,Bezdìèín,69985,data/ceskedata/CZ_data_1/2318.csv
320,2319,,,69985,data/ceskedata/CZ_data_1/2319.csv
321,232,664 42,Modøice - Brno,69985,data/ceskedata/CZ_data_1/232.csv
322,2320,,,69985,data/ceskedata/CZ_data_1/2320.csv
323,2321,,,69985,data/ceskedata/CZ_data_1/2321.csv
324,2322,,,69985,data/ceskedata/CZ_data_1/2322.csv
325,2323,252 68,Knìeves,69985,data/ceskedata/CZ_data_1/2323.csv
326,2324,252 68,Knìeves,69985,data/ceskedata/CZ_data_1/2324.csv
327,2326,,,69985,data/ceskedata/CZ_data_1/2326.csv
328,2327,,,69985,data/ceskedata/CZ_data_1/2327.csv
329,2329,252 68,Knìeves,69985,data/ceskedata/CZ_data_1/2329.csv
330,233,664 42,Modøice - Brno,69985,data/ceskedata/CZ_data_1/233.csv
331,2330,,,69985,data/ceskedata/CZ_data_1/2330.csv
332,2331,639 00,Brno - krobárny,69985,data/ceskedata/CZ_data_1/2331.csv
333,2332,,,69985,data/ceskedata/CZ_data_1/2332.csv
334,234,664 42,Modøice - Brno,69985,data/ceskedata/CZ_data_1/234.csv
335,235,664 42,Modøice - Brno,69985,data/ceskedata/CZ_data_1/235.csv
336,236,664 42,Modøice - Brno,69985,data/ceskedata/CZ_data_1/236.csv
337,237,664 42,Modøice - Brno,69985,data/ceskedata/CZ_data_1/237.csv
338,238,664 42,Modøice - Brno,69985,data/ceskedata/CZ_data_1/238.csv
339,239,664 42,Modøice - Brno,69985,data/ceskedata/CZ_data_1/239.csv
340,24,664 51,lapanice,69985,data/ceskedata/CZ_data_1/24.csv
341,240,664 42,Modøice - Brno,69985,data/ceskedata/CZ_data_1/240.csv
342,241,664 42,Modøice - Brno,69985,data/ceskedata/CZ_data_1/241.csv
343,242,664 42,Modøice - Brno,69985,data/ceskedata/CZ_data_1/242.csv
344,243,664 42,Modøice - Brno,69985,data/ceskedata/CZ_data_1/243.csv
