,electrometer,postcode,location,rows,f
325,919,,,72525,data/cz/15172017_20150221_20170317.csv
326,957,,,72506,data/cz/15172018_20150221_20170317.csv
327,958,,,72505,data/cz/15172020_20150221_20170317.csv
328,959,,,72505,data/cz/15172036_20150221_20170317.csv
329,960,,,72505,data/cz/15172039_20150221_20170317.csv
330,961,,,72505,data/cz/15172040_20150221_20170317.csv
331,967,,,72503,data/cz/15172041_20150221_20170317.csv
332,968,,,72503,data/cz/15172047_20150221_20170317.csv
333,920,,,72525,data/cz/15172048_20150221_20170317.csv
334,962,,,72504,data/cz/15172049_20150221_20170317.csv
335,963,,,72504,data/cz/15172054_20150221_20170317.csv
336,964,,,72504,data/cz/15172056_20150221_20170317.csv
337,965,,,72504,data/cz/15172060_20150221_20170317.csv
338,966,,,72503,data/cz/15172062_20150221_20170317.csv
339,970,,,72502,data/cz/15172063_20150221_20170317.csv
340,935,,,72512,data/cz/15172086_20150221_20170317.csv
341,936,,,72512,data/cz/15172087_20150221_20170317.csv
342,914,,,72526,data/cz/15172088_20150221_20170317.csv
343,937,,,72512,data/cz/15172089_20150221_20170317.csv
344,1065,,,8063,data/cz/15172091_20160824_20161116.csv
345,1050,,,30459,data/cz/15172092_20160504_20170317.csv
346,921,,,72525,data/cz/15172096_20150221_20170317.csv
347,979,,,72493,data/cz/15173004_20150221_20170317.csv
348,980,,,72492,data/cz/15217019_20150221_20170317.csv
349,981,,,72492,data/cz/15234074_20150221_20170317.csv
350,988,,,72491,data/cz/15255020_20150221_20170317.csv
351,982,,,72492,data/cz/15281022_20150221_20170317.csv
352,983,,,72492,data/cz/15281059_20150221_20170317.csv
353,990,,,72490,data/cz/15284032_20150221_20170317.csv
354,984,,,72492,data/cz/15284047_20150221_20170317.csv
355,985,,,72492,data/cz/15304043_20150221_20170317.csv
356,824,,,4,data/cz/15314671_20150626_20150626.csv
357,1056,,,29781,data/cz/15424120_20160511_20170317.csv
358,1040,,,19253,data/cz/15445179_20160429_20161116.csv
359,1041,,,30898,data/cz/15475113_20160429_20170317.csv
360,1048,,,30898,data/cz/15483152_20160429_20170317.csv
361,1051,,,24664,data/cz/15483162_20160505_20170117.csv
362,1052,,,30356,data/cz/15483178_20160505_20170317.csv
363,1035,,,30924,data/cz/15483184_20160429_20170317.csv
364,1026,,,30941,data/cz/15483189_20160429_20170317.csv
365,1027,,,30941,data/cz/15483241_20160429_20170317.csv
366,1028,,,30941,data/cz/15483247_20160429_20170317.csv
367,1029,,,30941,data/cz/15483248_20160429_20170317.csv
368,1037,,,30898,data/cz/15483249_20160429_20170317.csv
369,1038,,,30898,data/cz/15484001_20160429_20170317.csv
370,1020,,,31328,data/cz/16022018_20160425_20170317.csv
371,1042,,,30898,data/cz/16022025_20160429_20170317.csv
372,1043,,,22517,data/cz/16022026_20160429_20161220.csv
373,1039,,,30898,data/cz/16043003_20160429_20170317.csv
374,1030,,,30941,data/cz/16043006_20160429_20170317.csv
375,1031,,,30941,data/cz/16043014_20160429_20170317.csv
376,1033,,,30938,data/cz/16043017_20160429_20170317.csv
377,1034,,,30938,data/cz/16043031_20160429_20170317.csv
378,1044,,,14649,data/cz/16043034_20160429_20160929.csv
379,1045,,,30898,data/cz/16043038_20160429_20170317.csv
380,1053,,,30356,data/cz/16043039_20160505_20170317.csv
381,1054,,,30356,data/cz/16043042_20160505_20170317.csv
382,1046,,,22518,data/cz/16043045_20160429_20161220.csv
383,1032,,,30941,data/cz/16043048_20160429_20170317.csv
384,1047,,,30898,data/cz/16043056_20160429_20170317.csv
385,1055,,,30356,data/cz/16043058_20160505_20170317.csv
386,1066,277 45,Kozomín,24891,data/cz/16062309_20160701_20170317.csv
387,1067,277 45,Kozomín,24891,data/cz/16062314_20160701_20170317.csv
388,659,720 00,Ostrava - Hrabová, fáze I.,67393,data/cz/17912040911_20140501_20160402.csv
389,658,720 00,Ostrava - Hrabová, fáze I.,67393,data/cz/17912040912_20140501_20160402.csv
390,656,720 00,Ostrava - Hrabová, fáze I.,67393,data/cz/17912040913_20140501_20160402.csv
391,657,720 00,Ostrava - Hrabová, fáze I.,67393,data/cz/17912040914_20140501_20160402.csv
392,660,720 00,Ostrava - Hrabová, fáze I.,67393,data/cz/17912040915_20140501_20160402.csv
393,661,721 00,Ostrava - Hrabová, fáze I.,67393,data/cz/17912040916_20140501_20160402.csv
394,655,720 00,Ostrava - Hrabová, fáze I.,67393,data/cz/17912040917_20140501_20160402.csv
395,737,640 00,Brno - Škrobárny,46849,data/cz/1814123119_20141201_20160402.csv
396,945,,,38946,data/cz/1814442022_20150221_20160402.csv
397,469,639 00,Brno - Spielberk,78913,data/cz/18892_20140101_20160402.csv
398,842,,,6,data/cz/1893805_20150626_20150626.csv
399,339,639 00,Brno - Škrobárny,79104,data/cz/2097569_20131230_20160402.csv
400,361,639 00,Brno - Škrobárny,79104,data/cz/2097570_20131230_20160402.csv
401,340,639 00,Brno - Škrobárny,79104,data/cz/2097571_20131230_20160402.csv
402,733,,,46273,data/cz/2514245033_20141207_20160402.csv
403,352,639 00,Brno - Škrobárny,78913,data/cz/2732421_20140101_20160402.csv
404,857,,,38209,data/cz/300056_20150301_20160402.csv
405,858,,,38209,data/cz/300068_20150301_20160402.csv
406,861,,,38209,data/cz/300069_20150301_20160402.csv
407,856,,,38209,data/cz/300072_20150301_20160402.csv
408,855,,,38209,data/cz/300073_20150301_20160402.csv
409,859,,,38209,data/cz/300074_20150301_20160402.csv
410,776,,,38209,data/cz/300112_20150301_20160402.csv
411,853,,,38209,data/cz/300125_20150301_20160402.csv
412,854,,,38209,data/cz/300139_20150301_20160402.csv
413,852,,,38209,data/cz/300147_20150301_20160402.csv
414,863,,,38209,data/cz/300157_20150301_20160402.csv
415,862,,,38209,data/cz/300159_20150301_20160402.csv
416,603,,,112665,data/cz/300452_20131230_20170317.csv
417,726,,,54241,data/cz/300458_20140915_20160402.csv
418,729,,,49729,data/cz/300730_20141101_20160402.csv
419,715,,,89412,data/cz/300780_20140829_20170317.csv
420,976,,,72495,data/cz/300781_20150221_20170317.csv
421,632,,,106810,data/cz/300783_20140301_20170317.csv
422,653,,,92122,data/cz/301463_20140801_20170317.csv
423,652,365 02,Bor u Tachova, Nová Hospoda,68161,data/cz/301982_20140423_20160402.csv
424,827,,,97,data/cz/326307_20150301_20150302.csv
425,197,353 02,Bor u Tachova, Nová Hospoda,191,data/cz/37109113_20131229_20131231.csv
426,183,627 00,Brno - ?ernovické terasy,3836,data/cz/37109114_20140220_20140401.csv
427,844,,,10,data/cz/3718530_20150626_20150626.csv
428,506,640 00,Brno - Škrobárny,32352,data/cz/40627_20131230_20141202.csv
429,504,627 00,Brno - ?ernovické terasy,78913,data/cz/42434915_20140101_20160402.csv
430,505,639 00,Brno - Škrobárny,79104,data/cz/43692_20131230_20160402.csv
431,369,,,112664,data/cz/449087_20131230_20170317.csv
432,762,,,72566,data/cz/449088_20150220_20170317.csv
433,363,639 00,Brno - Spielberk,112664,data/cz/449089_20131230_20170317.csv
